DOW,Date,Pre.One,Pre.Two,Post.One,Post.Two,Season,Application,Additional.Stop,N.Type,AvgDepth.m,Lake
82010100,2019,2017,2018,2019,2020,Spring,a,2027,TKN.mg_L,2.4,DeMontreville
62006200,2015,2013,2014,2015,2016,Spring,a,2023,TKN.mg_L,1.5,Charley
62005700,2020,2018,2019,2020,2021,Spring,a,2028,TKN.mg_L,3.3,Josephine
62002200,2015,2013,2014,2015,2016,Spring,a,2023,TKN.mg_L,1.52,Tamarack
70005000,2015,2013,2014,2015,2016,Spring,a,2023,TKN.mg_L,2.59,McMahon
70009500,2019,2017,2018,2019,2020,Spring,a,2027,TKN.mg_L,NA,O'Dowd
10000700,2019,2017,2018,2019,2021,Spring,a,2027,TKN.mg_L,1.98,Lucy
10005900,2020,2018,2019,2020,2021,Spring,a,2028,TKN.mg_L,4,Waconia
10004200,2020,2016,2019,2020,2021,Spring,a,2028,TKN.mg_L,2,Parley
10001800,2015,2013,2014,2015,2016,Spring,a,2023,TKN.mg_L,6.1,Schutz
27001900,2015,2012,2014,2015,2016,Spring,a,2023,TN.mg_L,4.2,Nokomis
27006900,2019,2017,2018,2019,2021,Spring,a,2028,TKN.mg_L,1.04,Duck
27008800,2020,2018,2019,2021,2023,Spring,a,2028,TKN.mg_L,3.96,Minnetoga
27010400,1997,1995,1996,1997,1998,Spring,a,2005,TN.mg_L,4.8,Medicine
27011700,2020,2017,2018,2021,2022,Spring,a,2028,TN.mg_L,6.4,Weaver
27011101,2004,2001,2003,2004,2005,Spring,a,2012,TN.mg_L,3.2,Eagle
27007600,2016,2014,2015,2016,2017,Spring,a,2024,TKN.mg_L,1.43,Red Rock
27009500,2012,2010,2011,2012,2013,Spring,a,2020,TKN.mg_L,2.3,Gleason
27012500,2015,2013,2014,2015,2016,Spring,a,2023,TN.mg_L,1.7,Diamond
27014100,2021,2019,2020,2022,2023,Spring,a,2029,TKN.mg_L,1.5,Tanager
27014900,1997,1995,1996,1997,1998,Spring,a,2005,TN.mg_L,2.9,Spurzem
27015200,2020,2018,2019,2021,2022,Spring,a,2028,TN.mg_L,4.08,Half Moon
27018100,2014,2012,2013,2014,2015,Spring,a,2022,TKN.mg_L,4.4,Dutch
27019100,2020,2018,2019,2021,2022,Spring,a,2028,TN.mg_L,5.5,Sarah
27011102,2004,2001,2003,2004,2005,Spring,a,2012,TN.mg_L,1.49,Pike
19002601,2015,2013,2014,2015,2016,Spring,a,2023,TKN.mg_L,4.6,Marion
19002700,2004,2002,2003,2004,2005,Spring,a,2012,TKN.mg_L,3.05,Crystal
19003100,2015,2013,2014,2015,2016,Spring,a,2023,TKN.mg_L,3.05,Orchard
19003300,2019,2017,2018,2019,2020,Spring,a,2027,TKN.mg_L,1.22,Earley
19045100,2015,2013,2014,2015,2016,Spring,a,2023,TKN.mg_L,1.22,Sunset Pond
