"SUBMITTER_NAME","DOW","SURVEY_START","RAKE_MAX","SUBMIT_TIME","SURVEYORS","sta_nbr","depth_ft","ceratophyllum_demersum","potamogeton_crispus","latitude","longitude","chara_sp","elodea_canadensis","potamogeton_pusillus","stuckenia_pectinata","lemna_minor","potamogeton_zosteriformis","spirodela_polyrrhiza","algae","najas_flexilis","potamogeton_foliosus","vallisneria_americana","najas_sp","lake_name","najas_guadalupensis"
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"5.5","4","0",1.52736307614584,-92.4409347712014,"0",NA,NA,NA,"0",NA,NA,"2",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"6.3","4","0",1.53151556440942,-92.4409336965676,"0",NA,NA,NA,"0",NA,NA,"2",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"5.2","2","0",1.53359633188792,-92.4409331569815,"0",NA,NA,NA,"0",NA,NA,"1",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"5.1","1","1",1.53774881990781,-92.4409320779628,"0",NA,NA,NA,"0",NA,NA,"1",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"3.1","1","0",1.53982958726394,-92.4409315361794,"0",NA,NA,NA,"0",NA,NA,"1",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"3.7","1","0",1.52112928006733,-92.4388688025976,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"3.5","2","0",1.52321004700964,-92.4388682646907,"0",NA,NA,NA,"0",NA,NA,"2",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"6.2","0","1",1.5252817670989,-92.4388677283911,"0",NA,NA,NA,"0",NA,NA,"1",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"8.7","0","2",1.5273625339603,-92.438867189015,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"8.9","1","1",1.52944330078106,-92.4388666489027,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"10.2","1","1",1.53359578748867,-92.438865568826,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"9","0","1",1.53567655418741,-92.4388650265084,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"9.5","1","0",1.53774827403383,-92.4388644858173,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"8.5","1","1",1.53982904065099,-92.4388639420305,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"4.3","2","0",1.54190980722719,-92.4388633975075,"0",NA,NA,NA,"1",NA,NA,"1",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"4.5","3","0",1.52112873810245,-92.4368012270921,"0",NA,NA,NA,"0",NA,NA,"1",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"8.8","0","2",1.52320950430307,-92.4368006872034,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"10.6","1","0",1.52528122365386,-92.436800148928,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"12.4","1","0",1.52736198977356,-92.4367996075647,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"10","1","1",1.53774772614503,-92.4367968944079,"0",NA,NA,NA,"1",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"6.3","1","1",1.53982849202049,-92.4367963486177,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"4.5","2","0",1.54190925785498,-92.4367958020887,"0",NA,NA,NA,"0",NA,NA,"1",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"4","2","0",1.51697571228048,-92.4347437209304,"0",NA,NA,NA,"0",NA,NA,"2",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"6.2","2","1",1.519047431014,-92.4347431828996,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"7.7","0","2",1.5211281965139,-92.4347426417793,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"12","1","0",1.52320896197333,-92.4347420999175,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"11","1","1",1.52736144596468,-92.4347410163331,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"10.1","1","1",1.52944221130257,-92.4347404722497,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"5.3","1","1",1.53151392979422,-92.4347399297952,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"5.7","3","0",1.53359469505086,-92.4347393842319,"0",NA,NA,NA,"0",NA,NA,"1",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"5.3","2","0",1.53774717863668,-92.4347382932606,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"5.1","2","0",1.53982794377094,-92.4347377454757,"0",NA,NA,NA,"1",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"5.5","4","0",1.51697516782924,-92.4326761508489,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"7.2","1","1",1.51904688581888,-92.4326756108503,"0",NA,NA,NA,"1",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"10.4","0","1",1.52112765057164,-92.432675067751,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"11.3","1","0",1.52320841528394,-92.4326745239075,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"9.9","1","0",1.52528013315288,-92.432673981689,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"9","1","1",1.52944166237501,-92.4326728902868,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"3.4","1","1",1.53151338012276,-92.4326723458484,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"6.6","5","0",1.51697462139043,-92.4306085815116,"0",NA,NA,NA,"1",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"8.1","1","1",1.51904633863347,-92.4306080395453,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"10.7","1","0",1.52112710263637,-92.430607494467,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"9.9","0","1",1.5232078665988,-92.4306069486417,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"7.7","0","1",1.52527958372114,-92.4306064044474,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"6.6","1","0",1.52736034760265,-92.4306058571313,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"4","4","0",1.52944111144352,-92.4306053090683,"0",NA,NA,NA,"2",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"5.2","3","0",1.51697407535282,-92.4285500023484,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"5","5","0",1.5190457918498,-92.4285494584229,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"7.5","0","1",1.52112655510339,-92.4285489113742,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"4","1","0",1.51697352494751,-92.4264824345045,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"4.9","5","1",1.51904524069247,-92.4264818886113,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"5.5","1","1",1.52112600319075,-92.4264813395836,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2010-01-01","5","2024-01-29 00:56:55.810822","Unnamed hardworking surveyor(s)",NA,"4.4","4","0",1.51904468754486,-92.4244143195522,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,NA
"Ramsey County","62005500","2017-06-06","5","2024-01-29 00:59:00.82545","Unnamed hardworking surveyor(s)",NA,"1.7",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey County","62005500","2017-06-06","5","2024-01-29 00:59:00.82545","Unnamed hardworking surveyor(s)",NA,"3.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capitol Region Watershed District","62005500","2023-06-07","5","2024-02-13 15:15:49.874399","Justin Townsend","1","2.62",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"Capitol Region Watershed District","62005500","2023-06-07","5","2024-02-13 15:15:49.874399","Justin Townsend","2","4.92",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capitol Region Watershed District","62005500","2023-06-07","5","2024-02-13 15:15:49.874399","Justin Townsend","3","4.27","1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"Capitol Region Watershed District","62005500","2023-06-07","5","2024-02-13 15:15:49.874399","Justin Townsend","4","4.27",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"Capitol Region Watershed District","62005500","2023-06-07","5","2024-02-13 15:15:49.874399","Justin Townsend","5","5.91","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capitol Region Watershed District","62005500","2023-06-07","5","2024-02-13 15:15:49.874399","Justin Townsend","6","4.92",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"Capitol Region Watershed District","62005500","2023-06-07","5","2024-02-13 15:15:49.874399","Justin Townsend","7","5.91",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capitol Region Watershed District","62005500","2023-06-07","5","2024-02-13 15:15:49.874399","Justin Townsend","8","6.89",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capitol Region Watershed District","62005500","2023-06-07","5","2024-02-13 15:15:49.874399","Justin Townsend","9","2.95",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capitol Region Watershed District","62005500","2023-06-07","5","2024-02-13 15:15:49.874399","Justin Townsend","10","6.89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"Capitol Region Watershed District","62005500","2023-06-07","5","2024-02-13 15:15:49.874399","Justin Townsend","11","4.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capitol Region Watershed District","62005500","2023-06-07","5","2024-02-13 15:15:49.874399","Justin Townsend","12","3.61",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capitol Region Watershed District","62005500","2023-06-07","5","2024-02-13 15:15:49.874399","Justin Townsend","13","6.23",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
