"SUBMITTER_NAME","DOW","SURVEY_START","RAKE_MAX","SUBMIT_TIME","SURVEYORS","sta_nbr","depth_ft","ceratophyllum_demersum","potamogeton_crispus","latitude","longitude","chara_sp","elodea_canadensis","potamogeton_sp","nitella_sp","elodea_sp","potamogeton_pusillus","stuckenia_pectinata","wolffia_sp","substrate","lemna_minor","phalaris_arundinacea","potamogeton_zosteriformis","spirodela_polyrrhiza","wolffia_columbiana","algae","myriophyllum_spicatum","heteranthera_dubia","najas_flexilis","nymphaea_odorata","potamogeton_foliosus","zannichellia_palustris","lemna_trisulca","najas_sp","potamogeton_richardsonii","unk_sp","nuphar_advena","lake_name","nelumbo_lutea","typha_sp","no_veg_found","potamogeton_obtusifolius","potamogeton_epihydrus","algae.1","nuphar_sp","nymphaea_sp","eleocharis_sp","poaceae_taxa","potamogeton_sp.1","spirodela_polyrrhiza.1"
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","2","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","3","2.9","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1",NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","4","2.1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"4",NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","5","2.1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","6","4.1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,"62000600",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","7","0.11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,"1",NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","8","5","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","9","4.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","10","2.8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","11","6.8","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,"62000600",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","12","4.6","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","13","6.1","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"62000600",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","14","2.9","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,"1",NA,NA,"4",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","15","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","16","2.8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,"1","2",NA,NA,NA,NA,NA,"1",NA,NA,"4","2",NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","17","3.5","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1",NA,NA,"62000600",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","18","2.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","19","2.7","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,"3",NA,NA,"2",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","20","1.1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","21","3.6","5",NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,"5",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","22","3","2",NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,"5",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","23","2.2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,"2",NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","24","2.6","4",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"3",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","25","2.5","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","26","2.3","5",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"2",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramsey-Washington Metro Watershed District","62000600","2018-09-06","5","3/16/2023 14:48","Simba Blood","27","1.6","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62000600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
